"img1","img2","similarity"
"gazebo1.jpg","gazebo21.jpg",0.388419913419913
"gazebo1.jpg","gazebo9.jpg",0.624350649350649
"gazebo1.jpg","gazebo11.jpg",0.266161616161616
"gazebo1.jpg","gazebo20.jpg",0.481204906204906
"gazebo1.jpg","gazebo22.jpg",0.287103174603175
"gazebo1.jpg","gazebo5.jpg",0.10458152958153
"gazebo1.jpg","gazebo16.jpg",0.525450937950938
"gazebo1.jpg","gazebo8.jpg",0.339021164021164
"gazebo1.jpg","gazebo3.jpg",0.302056277056277
"gazebo1.jpg","gazebo15.jpg",0.370508658008658
"gazebo1.jpg","gazebo2.jpg",0.0928571428571429
"gazebo1.jpg","gazebo17.jpg",0.4531179138322
"gazebo1.jpg","gazebo13.jpg",0.0999801587301587
"gazebo1.jpg","gazebo12.jpg",0.391287878787879
"gazebo1.jpg","gazebo19.jpg",0.516666666666667
"gazebo14.jpg","gazebo0.jpg",0.331691919191919
"gazebo14.jpg","gazebo23.jpg",0.178535353535354
"gazebo14.jpg","gazebo1.jpg",0.104166666666667
"gazebo14.jpg","gazebo10.jpg",0.571356421356421
"gazebo14.jpg","gazebo18.jpg",0.402867965367965
"gazebo14.jpg","gazebo4.jpg",0.15465367965368
"gazebo14.jpg","gazebo6.jpg",0.304220779220779
"gazebo14.jpg","gazebo7.jpg",0.114772727272727
"gazebo14.jpg","gazebo21.jpg",0.155357142857143
"gazebo14.jpg","gazebo9.jpg",0.439177489177489
"gazebo14.jpg","gazebo11.jpg",0.245941558441558
"gazebo14.jpg","gazebo20.jpg",0.400108225108225
"gazebo14.jpg","gazebo22.jpg",0.342424242424242
"gazebo14.jpg","gazebo5.jpg",0.476551226551227
"gazebo14.jpg","gazebo16.jpg",0.0641414141414141
"gazebo14.jpg","gazebo8.jpg",0.2751443001443
"gazebo14.jpg","gazebo3.jpg",0.318181818181818
"gazebo14.jpg","gazebo15.jpg",0.23262987012987
"gazebo14.jpg","gazebo2.jpg",0.36038961038961
"gazebo14.jpg","gazebo17.jpg",0.261453823953824
"gazebo14.jpg","gazebo13.jpg",0.648448773448773
"gazebo14.jpg","gazebo12.jpg",0.449007936507937
"gazebo14.jpg","gazebo19.jpg",0.28030303030303
"gazebo10.jpg","gazebo0.jpg",0.307575757575758
"gazebo10.jpg","gazebo23.jpg",0.163006690279418
"gazebo10.jpg","gazebo1.jpg",0.446103896103896
"gazebo10.jpg","gazebo14.jpg",0.571356421356421
"gazebo10.jpg","gazebo18.jpg",0.390800865800866
"gazebo10.jpg","gazebo4.jpg",0.163095238095238
